#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	144	0	0	0	0	0	0	144
1	23	68	31	10	6	0	0	144
2	7	71	18	12	18	0	0	144
3	7	61	13	19	22	0	0	144
4	6	54	9	15	30	0	0	144
5	10	46	9	13	33	0	0	144
6	7	40	9	14	37	0	0	144
7	7	38	7	16	38	0	0	144
8	3	34	11	16	39	1	0	144
9	6	28	7	21	40	1	0	144
10	4	27	5	18	44	1	0	144
11	1	28	3	18	46	1	0	144
12	0	28	1	15	49	1	0	144
13	1	26	2	15	49	1	0	144
14	3	21	5	15	49	1	0	144
15	3	19	5	13	50	2	0	144
16	7	15	4	16	49	2	0	144
17	2	18	1	17	51	2	0	144
18	2	15	3	16	52	2	0	144
19	1	13	4	16	53	2	0	144
20	1	10	4	19	53	2	0	144
21	1	10	2	21	53	2	0	144
22	1	10	0	19	54	3	0	144
23	2	8	3	19	52	4	0	144
24	4	7	3	20	51	4	0	144
25	2	8	2	22	51	4	0	144
26	2	8	0	16	55	4	0	144
27	2	6	1	17	55	4	0	144
28	0	7	1	18	55	4	0	144
29	1	5	0	20	55	4	0	144
30	2	5	0	21	54	4	0	144
31	0	5	4	21	53	4	0	144
32	1	6	1	22	53	4	0	144
33	1	4	2	21	53	5	0	144
34	2	3	1	20	53	6	0	144
35	0	4	2	20	53	6	0	144
36	0	4	0	22	52	7	0	144
37	2	4	0	22	51	7	0	144
38	0	7	1	20	51	7	0	144
39	1	6	1	20	51	7	0	144
40	1	8	1	20	50	7	0	144
41	2	7	0	19	51	7	0	144
42	0	8	1	19	51	7	0	144
43	1	7	0	20	51	7	0	144
44	1	7	2	20	50	7	0	144
45	1	5	4	20	49	8	0	144
46	1	5	5	21	48	8	0	144
47	1	5	2	24	48	8	0	144
48	2	4	0	24	49	8	0	144
49	1	6	0	21	50	8	0	144
50	1	4	1	20	51	8	0	144
51	2	7	1	20	49	8	0	144
52	3	10	0	21	47	8	0	144
53	0	10	1	21	48	8	0	144
54	1	11	1	21	47	8	0	144
55	0	9	3	22	47	8	0	144
56	1	8	1	24	47	8	0	144
57	1	6	3	22	48	8	0	144
58	1	4	2	21	50	8	0	144
59	1	2	0	17	54	8	0	144
60	1	3	0	16	54	8	0	144
70	1	2	4	17	49	11	0	144
80	0	2	1	15	52	11	0	144
90	0	3	2	17	50	11	0	144
100	0	0	0	16	51	13	0	144
110	2	5	0	19	46	13	0	144
120	0	2	1	19	46	15	0	144
130	1	1	2	18	46	15	0	144
140	0	2	1	19	45	16	0	144
150	0	0	1	19	43	19	0	144
160	1	2	1	22	38	21	0	144
170	0	3	0	23	37	22	0	144
180	0	4	0	24	35	22	1	142
190	0	3	2	23	33	24	1	142
200	0	3	0	23	34	24	1	142
210	0	0	0	20	35	26	1	142
220	0	2	0	22	30	29	1	142
230	1	2	0	23	29	29	1	142
240	0	3	0	21	28	31	1	142
250	0	2	1	23	24	33	2	140
260	0	2	0	22	22	36	2	140
270	0	2	1	23	18	39	2	140
280	0	1	0	23	18	40	2	140
290	0	2	0	24	17	40	2	140
300	0	0	0	20	19	41	2	140
310	0	0	0	20	17	43	2	140
320	0	0	0	20	16	44	2	140
330	1	1	0	20	14	45	2	140
340	0	1	0	19	13	47	2	140
350	0	2	0	20	12	46	3	138
360	0	1	0	21	12	46	3	138
370	0	0	0	20	13	45	4	136
380	0	0	0	20	12	46	4	136
390	0	0	0	20	12	45	5	134
400	0	4	0	20	9	46	5	134
410	0	2	0	22	9	46	5	134
420	0	4	0	24	7	45	6	132
430	0	2	0	24	8	45	6	132
440	0	0	0	24	9	45	6	132
450	0	3	1	24	6	46	6	132
460	0	4	0	22	7	46	6	132
470	0	3	0	23	7	45	7	130
480	0	3	0	23	7	44	8	128
490	0	2	0	24	6	44	9	126
500	0	0	0	24	7	44	9	126
510	0	1	0	25	6	44	9	126
520	0	1	0	25	6	44	9	126
530	0	0	0	22	8	44	9	126
540	0	0	0	22	7	44	10	124
550	1	1	0	24	5	44	10	124
560	0	1	0	23	6	44	10	124
570	0	1	0	23	6	44	10	124
580	0	0	1	23	6	44	10	124
590	0	0	0	22	7	44	10	124
600	0	0	0	22	7	44	10	124
660	0	0	0	22	7	42	12	120
720	0	0	0	20	6	41	15	114
780	0	0	0	20	6	39	17	110
840	0	1	0	21	4	39	18	108
900	0	0	0	20	2	41	19	106
960	0	0	0	20	2	39	21	102
1020	0	0	0	20	2	38	22	100
1080	0	0	0	20	2	37	23	98
1140	0	1	1	20	0	37	24	96
1200	0	0	0	20	1	33	28	88
1260	0	0	0	20	0	34	28	88
1320	0	0	0	20	0	34	28	88
1380	0	0	0	20	0	32	30	84
1440	0	0	0	20	0	30	32	80
1500	0	0	0	20	0	27	35	74
1560	0	0	0	20	0	23	39	66
1620	0	0	0	20	0	23	39	66
1680	0	0	0	20	0	23	39	66
1740	0	0	0	20	0	22	40	64
1800	0	0	0	20	0	21	41	62
1860	0	0	0	20	0	19	43	58
1920	0	0	0	20	0	18	44	56
1980	0	0	0	20	0	18	44	56
2040	0	0	0	20	0	15	47	50
2100	0	0	0	20	0	13	49	46
2160	0	0	0	20	0	13	49	46
2220	0	0	0	20	0	12	50	44
2280	0	0	0	20	0	12	50	44
2340	0	0	0	20	0	12	50	44
2400	0	0	0	20	0	11	51	42
2460	0	0	0	20	0	11	51	42
2520	0	0	0	20	0	9	53	38
2580	0	0	0	20	0	9	53	38
2640	0	0	0	20	0	8	54	36
2700	0	0	0	20	0	8	54	36
2760	0	0	0	20	0	8	54	36
2820	0	0	0	20	0	7	55	34
2880	0	0	0	20	0	7	55	34
2940	0	0	0	20	0	6	56	32
3000	0	0	0	20	0	6	56	32
3060	0	0	0	20	0	4	58	28
3120	0	0	0	20	0	4	58	28
3180	0	0	0	20	0	4	58	28
3240	0	0	0	20	0	4	58	28
3300	0	0	0	18	0	5	58	28
3360	0	0	0	18	0	5	58	28
3420	0	0	0	18	0	5	58	28
3480	0	0	0	18	0	5	58	28
3540	0	0	0	18	0	5	58	28
3600	0	0	0	18	0	5	58	28
4200	0	0	0	16	0	5	59	26
4800	0	0	0	16	0	2	62	20
5400	0	0	0	16	0	2	62	20
6000	0	0	0	16	0	0	64	16
6600	0	0	0	14	0	1	64	16
7200	0	0	0	14	0	1	64	16
7800	0	0	0	14	0	0	65	14
8400	0	0	0	14	0	0	65	14
9000	0	0	0	14	0	0	65	14
9600	0	0	0	14	0	0	65	14
10200	0	0	0	14	0	0	65	14
10800	0	0	0	14	0	0	65	14
11400	0	0	0	14	0	0	65	14
12000	0	0	0	14	0	0	65	14
