#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	218	0	0	0	0	0	0	218
1	38	83	67	6	12	0	0	218
2	24	79	46	13	28	0	0	218
3	8	84	28	22	38	0	0	218
4	10	72	18	16	51	0	0	218
5	13	61	12	24	54	0	0	218
6	15	46	11	22	62	0	0	218
7	7	44	9	28	65	0	0	218
8	6	37	7	32	67	1	0	218
9	3	38	9	30	68	1	0	218
10	5	36	5	32	68	2	0	218
11	3	34	4	33	69	3	0	218
12	4	29	4	35	70	3	0	218
13	1	30	2	33	72	4	0	218
14	2	26	2	34	73	4	0	218
15	2	25	3	30	75	4	0	218
16	2	25	4	29	75	4	0	218
17	3	24	5	30	73	5	0	218
18	4	19	5	32	73	6	0	218
19	4	18	2	36	72	7	0	218
20	6	16	3	37	71	7	0	218
21	2	19	2	37	72	7	0	218
22	3	17	1	39	71	8	0	218
23	4	14	1	39	72	8	0	218
24	3	16	2	37	72	8	0	218
25	1	16	3	32	75	8	0	218
26	1	13	4	32	75	9	0	218
27	2	13	4	31	74	10	0	218
28	2	11	4	31	75	10	0	218
29	1	11	3	27	78	10	0	218
30	2	10	1	29	77	11	0	218
31	1	11	0	28	78	11	0	218
32	2	9	1	28	78	11	0	218
33	1	9	1	29	77	12	0	218
34	4	8	0	28	77	12	0	218
35	2	11	0	29	76	12	0	218
36	2	10	1	29	76	12	0	218
37	3	9	3	29	75	12	0	218
38	1	12	1	32	74	12	0	218
39	1	12	2	29	75	12	0	218
40	3	10	1	30	75	12	0	218
41	0	13	0	27	76	13	0	218
42	2	9	1	28	75	14	0	218
43	2	9	1	28	75	14	0	218
44	3	8	1	30	74	14	0	218
45	3	6	0	29	75	15	0	218
46	4	7	2	29	73	15	0	218
47	0	7	5	30	73	15	0	218
48	2	5	4	27	75	15	0	218
49	1	4	2	29	76	15	0	218
50	0	5	0	27	77	16	0	218
51	2	5	0	27	76	16	0	218
52	1	4	1	28	75	17	0	218
53	0	5	2	27	75	17	0	218
54	0	5	1	28	74	18	0	218
55	1	6	1	28	71	20	0	218
56	2	6	0	30	70	20	0	218
57	1	8	1	30	68	21	0	218
58	0	9	3	32	66	21	0	218
59	2	6	1	33	67	21	0	218
60	3	6	0	33	67	21	0	218
70	0	6	2	28	66	25	0	218
80	2	5	3	36	60	26	0	218
90	0	1	2	27	65	28	1	216
100	1	6	1	30	59	30	1	216
110	3	5	1	29	57	32	1	216
120	1	4	0	31	57	33	1	216
130	2	5	0	31	55	34	1	216
140	0	2	1	31	52	38	2	214
150	0	3	0	31	48	42	2	214
160	0	3	1	32	46	43	2	214
170	1	6	2	35	39	44	4	210
180	3	4	2	35	38	45	4	210
190	3	5	1	35	36	46	5	208
200	0	2	0	34	39	46	6	206
210	1	5	0	36	35	47	6	206
220	1	8	2	35	31	48	7	204
230	1	3	2	38	32	48	7	204
240	1	1	0	36	34	49	7	204
250	0	1	2	37	32	50	7	204
260	1	0	0	37	31	52	7	204
270	0	0	1	37	31	51	8	202
280	0	0	2	36	30	52	8	202
290	0	2	0	34	31	52	8	202
300	0	2	0	34	31	52	8	202
310	3	1	1	35	29	52	8	202
320	0	2	1	35	28	54	8	202
330	1	1	0	34	28	55	8	202
340	0	3	1	36	24	57	8	202
350	0	0	0	34	27	57	8	202
360	0	0	1	33	25	59	8	202
370	0	2	0	32	25	59	8	202
380	0	1	0	29	26	60	8	202
390	0	0	1	29	24	62	8	202
400	0	2	1	29	22	63	8	202
