#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	266	0	0	0	0	0	0	266
1	48	104	64	38	6	0	0	266
2	17	115	50	48	18	0	0	266
3	14	101	36	59	27	1	0	266
4	11	98	24	65	33	1	0	266
5	6	94	14	68	41	1	0	266
6	11	85	9	69	45	1	0	266
7	10	74	18	66	48	1	0	266
8	12	67	9	62	57	1	0	266
9	2	71	9	58	61	2	0	266
10	6	63	7	52	67	2	0	266
11	10	52	10	50	69	3	0	266
12	7	48	10	49	73	3	0	266
13	6	45	10	53	73	3	0	266
14	7	45	6	50	73	6	0	266
15	4	44	8	50	73	7	0	266
16	1	43	7	51	74	8	0	266
17	2	38	7	49	77	8	0	266
18	6	33	3	48	79	9	0	266
19	3	30	4	47	82	9	0	266
20	1	28	3	46	85	9	0	266
21	4	22	3	43	88	9	0	266
22	2	25	4	43	87	9	0	266
23	2	21	6	43	88	9	0	266
24	2	21	5	42	89	9	0	266
25	0	21	3	42	91	9	0	266
26	4	17	2	41	91	10	0	266
27	2	16	7	43	89	10	0	266
28	5	14	4	41	91	10	0	266
29	6	15	1	40	92	10	0	266
30	2	19	3	36	93	10	0	266
31	0	21	0	35	94	11	0	266
32	4	17	0	35	93	12	0	266
33	2	16	2	36	92	13	0	266
34	2	15	4	35	91	14	0	266
35	2	13	6	35	91	14	0	266
36	1	14	5	38	90	14	0	266
37	2	10	5	37	91	15	0	266
38	1	9	2	34	95	15	0	266
39	0	10	0	34	96	15	0	266
40	1	9	0	34	96	15	0	266
41	1	8	0	35	96	15	0	266
42	1	9	1	35	94	16	0	266
43	1	9	1	35	94	16	0	266
44	2	7	2	35	94	16	0	266
45	1	9	0	36	94	16	0	266
46	1	8	1	36	94	16	0	266
47	2	6	2	36	93	17	0	266
48	1	7	2	36	93	17	0	266
49	1	7	2	34	94	17	0	266
50	1	6	2	33	95	17	0	266
51	2	4	3	33	95	17	0	266
52	5	3	2	34	94	17	0	266
53	2	3	1	32	97	17	0	266
54	1	3	2	32	96	18	0	266
55	0	3	2	31	97	18	0	266
56	1	3	2	30	97	18	0	266
57	0	2	2	30	97	19	0	266
58	0	1	1	32	96	20	0	266
59	1	0	0	29	98	20	0	266
60	1	1	0	30	96	21	0	266
70	5	2	6	31	87	24	0	266
80	0	4	0	32	91	24	0	266
90	0	8	0	32	88	24	1	264
100	1	7	0	36	83	26	2	262
110	3	9	0	36	79	27	3	260
120	2	4	1	39	77	29	4	258
130	0	7	1	36	75	32	4	258
140	2	8	2	40	68	35	4	258
150	1	4	1	40	67	39	4	258
160	1	0	2	43	66	40	4	258
170	0	5	1	46	60	43	4	258
180	0	2	0	44	62	42	6	254
190	2	6	1	47	53	46	6	254
200	2	8	0	48	48	50	6	254
210	0	3	1	44	51	52	6	254
220	1	1	1	45	49	54	6	254
230	2	2	1	45	48	54	6	254
240	1	6	2	51	38	58	7	252
250	0	8	1	53	36	59	7	252
