#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	204	0	0	0	0	0	0	204
1	41	93	46	18	3	0	0	204
2	19	96	31	36	11	0	0	204
3	11	90	24	51	14	0	0	204
4	13	81	14	58	19	0	0	204
5	11	73	14	54	26	0	0	204
6	7	63	13	59	31	0	0	204
7	3	63	7	55	38	0	0	204
8	5	56	5	54	42	0	0	204
9	9	49	4	50	46	0	0	204
10	10	43	7	52	45	1	0	204
11	7	35	10	46	52	1	0	204
12	6	30	10	42	57	1	0	204
13	4	26	10	38	62	1	0	204
14	3	26	2	41	65	1	0	204
15	6	21	4	41	65	1	0	204
16	1	24	4	37	67	2	0	204
17	3	21	2	36	69	2	0	204
18	3	21	1	35	69	3	0	204
19	0	23	1	36	68	4	0	204
20	1	26	0	37	66	4	0	204
21	4	22	1	37	66	4	0	204
22	6	20	2	36	66	4	0	204
23	3	23	2	34	67	4	0	204
24	6	17	4	33	68	4	0	204
25	4	19	4	31	69	4	0	204
26	2	18	2	30	71	5	0	204
27	0	20	1	29	72	5	0	204
28	1	21	1	29	71	5	0	204
29	4	17	2	29	71	5	0	204
30	3	16	2	31	71	5	0	204
31	3	16	5	30	70	5	0	204
32	2	15	6	33	68	6	0	204
33	3	14	4	35	67	7	0	204
34	1	16	2	35	67	8	0	204
35	3	14	0	37	67	8	0	204
36	3	12	1	36	68	8	0	204
37	5	12	2	35	67	8	0	204
38	5	10	8	35	65	8	0	204
39	2	11	8	37	65	8	0	204
40	1	10	4	37	68	8	0	204
41	1	9	2	34	71	8	0	204
42	1	7	0	34	73	8	0	204
43	3	5	0	34	73	8	0	204
44	1	8	1	34	72	8	0	204
45	4	7	2	33	71	8	0	204
46	3	8	2	35	69	9	0	204
47	1	9	2	36	69	9	0	204
48	1	11	3	37	66	10	0	204
49	3	9	4	38	63	12	0	204
50	3	10	2	37	62	14	0	204
51	5	8	3	38	61	14	0	204
52	4	7	2	39	62	14	0	204
53	2	6	4	38	62	15	0	204
54	2	6	1	37	64	15	0	204
55	5	5	0	36	64	15	0	204
56	2	9	0	37	63	15	0	204
57	0	9	1	38	63	15	0	204
58	2	6	1	39	63	15	0	204
59	0	7	2	39	63	15	0	204
60	3	6	1	38	63	15	0	204
70	0	5	1	32	64	19	0	204
80	1	2	1	32	64	20	0	204
90	3	5	0	34	58	23	0	204
100	2	4	3	37	55	22	2	200
110	0	5	2	37	54	23	3	198
120	0	4	1	39	53	23	4	196
130	0	2	1	37	52	26	4	196
140	2	4	0	36	50	27	4	196
150	1	3	0	34	50	29	4	196
160	1	5	1	33	48	30	4	196
170	1	6	1	34	46	30	5	194
180	1	5	2	36	44	31	5	194
190	0	4	0	34	45	33	5	194
200	2	7	1	36	41	32	6	192
210	2	4	1	37	40	33	7	190
220	0	3	0	37	41	33	8	188
230	1	3	1	35	41	33	8	188
240	0	4	2	36	37	36	8	188
250	0	4	0	36	37	35	10	184
260	3	3	0	36	35	36	10	184
270	1	1	1	37	35	37	10	184
280	0	2	0	38	33	38	11	182
290	2	1	0	37	31	40	11	182
300	0	2	2	38	30	40	11	182
310	0	4	1	39	29	40	11	182
320	0	3	0	39	30	40	11	182
330	0	1	0	35	31	42	11	182
340	0	1	0	37	29	43	11	182
350	0	1	0	37	29	43	11	182
360	0	0	2	38	26	45	11	182
370	0	1	1	36	23	48	12	180
380	0	3	0	39	18	51	12	180
390	0	1	0	37	19	52	12	180
400	0	2	0	38	17	53	12	180
410	0	2	1	39	14	54	13	178
420	0	0	0	36	17	54	13	178
430	0	0	0	36	17	54	13	178
440	0	0	0	36	17	54	13	178
450	0	0	0	36	17	54	13	178
460	0	0	0	36	14	57	13	178
470	0	0	0	36	13	58	13	178
480	1	1	0	38	8	61	13	178
490	0	1	0	37	9	61	13	178
500	1	0	2	37	8	61	13	178
510	0	0	0	36	10	59	15	174
520	0	0	0	36	9	60	15	174
530	0	0	0	36	9	60	15	174
540	0	0	0	36	7	62	15	174
550	0	0	0	36	7	62	15	174
560	0	0	0	36	7	62	15	174
570	0	0	0	36	7	62	15	174
580	0	0	0	36	6	62	16	172
590	0	0	1	37	5	62	16	172
600	0	0	0	36	6	62	16	172
660	0	0	0	36	5	59	20	164
720	0	0	0	34	5	56	24	156
780	1	1	0	34	2	58	24	156
840	0	0	0	34	2	57	26	152
900	0	0	0	34	2	55	28	148
960	0	0	0	34	2	55	28	148
1020	0	0	0	34	1	50	34	136
1080	0	0	0	32	1	49	36	132
1140	0	0	0	32	1	44	41	122
1200	0	0	0	32	1	41	44	116
1260	0	0	0	32	1	40	45	114
1320	0	0	0	32	1	36	49	106
1380	0	0	0	32	1	35	50	104
1440	0	0	0	32	1	34	51	102
1500	0	0	0	32	0	35	51	102
1560	0	0	0	32	0	33	53	98
1620	0	0	0	32	0	31	55	94
1680	0	0	0	32	0	29	57	90
1740	0	0	0	32	0	28	58	88
1800	0	0	0	32	0	27	59	86
1860	0	0	0	32	0	27	59	86
1920	0	0	0	32	0	23	63	78
1980	0	0	0	32	0	21	65	74
2040	0	0	0	32	0	20	66	72
