#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	128	0	0	0	0	0	0	128
1	18	49	39	16	3	0	0	128
2	8	48	22	30	10	0	0	128
3	10	43	13	30	16	0	0	128
4	8	38	10	32	20	0	0	128
5	10	30	2	24	31	0	0	128
6	5	27	6	26	32	0	0	128
7	3	25	6	24	35	0	0	128
8	4	20	5	23	37	1	0	128
9	3	16	10	21	38	1	0	128
10	2	15	6	21	41	1	0	128
11	3	13	3	23	42	1	0	128
12	1	13	4	22	43	1	0	128
13	0	12	1	17	48	1	0	128
14	3	11	1	19	46	1	0	128
15	5	9	1	19	46	1	0	128
16	5	7	1	19	47	1	0	128
17	2	11	2	19	46	1	0	128
18	1	10	2	19	47	1	0	128
19	1	10	0	21	47	1	0	128
20	4	8	1	21	46	1	0	128
21	1	6	0	19	50	1	0	128
22	0	4	3	19	50	1	0	128
23	1	3	1	17	52	1	0	128
24	0	3	0	17	51	3	0	128
25	1	2	0	17	51	3	0	128
26	0	1	2	17	51	3	0	128
27	1	0	2	15	52	3	0	128
28	0	0	3	15	52	3	0	128
29	0	0	2	16	52	3	0	128
30	0	0	1	17	52	3	0	128
31	1	1	0	16	52	3	0	128
32	0	2	0	16	52	3	0	128
33	2	2	0	16	51	3	0	128
34	1	2	1	16	51	3	0	128
35	1	2	1	16	51	3	0	128
36	1	0	2	17	51	3	0	128
37	0	1	0	17	52	3	0	128
38	0	1	0	17	52	3	0	128
39	0	1	0	17	52	3	0	128
40	0	1	0	17	50	5	0	128
41	0	1	2	17	48	6	0	128
42	0	1	0	17	49	6	0	128
43	0	1	0	17	49	6	0	128
44	0	1	0	17	49	6	0	128
45	0	1	0	15	50	6	0	128
46	0	1	0	15	50	6	0	128
47	0	1	0	15	50	6	0	128
48	0	1	0	13	51	6	0	128
49	0	1	0	13	51	6	0	128
50	0	1	0	13	51	6	0	128
51	0	1	0	13	50	7	0	128
52	0	1	0	13	49	8	0	128
53	0	1	0	13	49	8	0	128
54	1	0	0	13	49	8	0	128
55	1	3	1	13	47	8	0	128
56	0	4	0	10	49	8	0	128
57	0	4	0	10	49	8	0	128
58	0	3	1	10	47	10	0	128
59	0	3	0	11	47	10	0	128
60	1	2	0	11	47	10	0	128
70	3	5	3	11	41	12	0	128
80	3	2	0	11	39	17	0	128
90	0	4	3	13	35	19	0	128
100	0	1	1	12	36	21	0	128
110	0	1	0	13	35	20	2	124
120	2	0	0	14	34	20	2	124
130	0	3	1	18	30	21	2	124
140	0	1	0	13	32	23	2	124
150	0	3	0	13	31	22	3	122
160	0	2	0	12	32	22	3	122
170	0	5	2	15	28	22	3	122
180	3	2	0	13	27	25	3	122
190	0	4	1	17	24	26	3	122
200	0	3	0	15	25	27	3	122
210	1	2	2	15	23	28	3	122
220	1	3	1	13	24	28	3	122
230	3	3	1	17	20	29	3	122
240	1	6	0	21	18	29	3	122
250	0	1	0	15	24	29	3	122
260	0	2	0	16	22	29	4	120
270	0	1	0	17	20	31	4	120
280	0	2	0	18	19	31	4	120
290	0	1	0	17	19	32	4	120
300	0	1	0	17	19	32	4	120
310	0	2	1	17	18	32	4	120
320	0	1	0	17	19	32	4	120
330	0	1	1	18	18	32	4	120
340	0	0	0	16	19	33	4	120
350	2	1	0	17	17	33	4	120
360	0	2	0	16	15	35	5	118
370	0	2	0	16	13	37	5	118
380	1	0	0	17	12	37	6	116
390	0	0	2	14	13	36	7	114
400	0	1	0	17	10	37	8	112
410	0	1	0	17	10	37	8	112
420	0	0	0	16	11	37	8	112
430	1	1	0	16	10	37	8	112
440	0	1	1	18	9	37	8	112
450	0	1	0	17	10	37	8	112
460	0	0	0	16	10	38	8	112
470	1	0	1	16	9	38	8	112
480	0	1	0	17	9	36	10	108
490	0	0	0	16	10	35	11	106
500	0	0	0	16	10	34	12	104
510	0	0	0	16	10	34	12	104
520	0	1	0	17	9	34	12	104
530	0	0	0	16	10	33	13	102
540	0	0	2	16	8	33	14	100
550	0	0	0	16	9	33	14	100
560	0	0	0	16	8	34	14	100
570	0	0	0	16	8	34	14	100
580	0	1	0	17	7	34	14	100
590	0	1	0	17	6	35	14	100
600	0	2	0	16	6	33	16	96
660	0	0	0	18	4	35	16	96
720	0	0	0	18	1	32	22	84
780	0	0	0	16	2	31	23	82
840	0	0	0	16	2	28	26	76
900	0	0	0	16	1	28	27	74
960	0	0	0	16	0	29	27	74
1020	0	0	0	16	0	28	28	72
1080	0	0	0	16	0	24	32	64
1140	0	0	0	16	0	24	32	64
1200	0	0	0	16	0	24	32	64
1260	0	0	0	16	0	23	33	62
1320	0	0	0	16	0	22	34	60
1380	0	0	0	16	0	22	34	60
1440	0	0	0	16	0	21	35	58
1500	0	0	0	16	0	20	36	56
1560	0	0	0	16	0	17	39	50
1620	0	0	0	16	0	17	39	50
1680	0	0	0	16	0	17	39	50
1740	0	0	0	16	0	17	39	50
1800	0	0	0	16	0	14	42	44
