#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	144	0	0	0	0	0	0	144
1	25	67	35	15	1	0	0	144
2	16	60	26	28	7	0	0	144
3	13	51	12	38	15	0	0	144
4	6	47	15	40	18	0	0	144
5	8	40	11	43	21	0	0	144
6	8	37	7	38	27	0	0	144
7	4	37	3	34	33	0	0	144
8	10	28	3	35	34	0	0	144
9	4	26	6	30	39	0	0	144
10	3	25	3	27	43	0	0	144
11	4	23	1	26	45	0	0	144
12	6	21	1	26	45	0	0	144
13	4	23	1	26	45	0	0	144
14	4	22	3	25	45	0	0	144
15	3	23	0	26	46	0	0	144
16	2	21	3	26	46	0	0	144
17	3	18	2	23	49	0	0	144
18	3	19	0	22	48	2	0	144
19	0	20	0	22	49	2	0	144
20	4	16	0	22	49	2	0	144
21	3	14	3	24	48	2	0	144
22	1	14	4	21	50	2	0	144
23	2	11	3	18	53	2	0	144
24	3	11	4	16	53	2	0	144
25	2	11	3	16	54	2	0	144
26	0	12	1	15	56	2	0	144
27	1	10	2	15	56	2	0	144
28	1	10	1	14	57	2	0	144
29	1	10	0	13	58	2	0	144
30	1	10	0	13	58	2	0	144
31	1	14	2	13	55	2	0	144
32	3	14	0	13	55	2	0	144
33	6	11	2	11	55	2	0	144
34	4	11	2	13	54	3	0	144
35	3	11	1	15	54	3	0	144
36	1	13	0	16	54	3	0	144
37	1	13	0	16	54	3	0	144
38	1	12	1	16	54	3	0	144
39	1	9	2	16	53	5	0	144
40	0	9	0	15	55	5	0	144
41	1	8	0	15	55	5	0	144
42	0	9	0	15	53	7	0	144
43	0	6	2	14	54	7	0	144
44	2	6	1	15	53	7	0	144
45	0	7	1	14	54	7	0	144
46	1	6	0	15	54	7	0	144
47	5	4	0	15	52	8	0	144
48	1	7	2	14	51	9	0	144
49	0	8	0	16	50	10	0	144
50	0	6	1	15	51	10	0	144
51	2	6	0	14	51	10	0	144
52	0	6	1	17	50	10	0	144
53	0	7	1	16	50	10	0	144
54	3	6	0	17	49	10	0	144
55	3	5	1	17	49	10	0	144
56	3	4	1	16	49	11	0	144
57	2	4	1	15	50	11	0	144
58	1	5	0	16	50	11	0	144
59	1	5	0	16	50	11	0	144
60	2	7	1	16	48	11	0	144
70	3	2	2	15	50	11	0	144
80	1	4	0	11	51	13	0	144
90	0	3	0	15	47	16	0	144
100	1	2	0	15	45	18	0	144
110	0	2	1	13	45	19	0	144
120	2	2	1	15	39	23	0	144
130	0	2	0	16	37	26	0	144
140	0	1	0	15	36	27	1	142
150	1	2	0	15	35	27	1	142
160	0	0	0	14	37	27	1	142
170	1	3	0	14	32	30	1	142
180	1	5	1	17	29	30	1	142
190	0	3	0	19	29	31	1	142
200	0	1	2	19	29	31	1	142
210	0	1	1	20	26	34	1	142
220	0	0	0	18	26	36	1	142
230	0	1	0	21	23	37	1	142
240	0	2	0	22	22	37	1	142
250	0	0	0	20	22	39	1	142
260	2	2	1	21	17	41	1	142
270	0	4	0	24	14	42	2	140
280	0	1	1	22	16	41	3	138
290	1	1	1	21	16	41	3	138
300	0	4	0	22	14	41	4	136
310	0	2	0	20	15	42	4	136
320	0	1	0	21	14	43	4	136
330	0	0	1	23	12	44	4	136
340	0	1	0	23	12	44	4	136
350	0	1	0	23	12	42	6	132
360	1	0	0	21	12	42	7	130
370	0	3	0	21	11	42	7	130
380	0	2	0	22	11	41	8	128
390	0	2	0	24	10	40	9	126
400	0	0	0	22	12	40	9	126
410	0	0	0	22	12	40	9	126
420	0	0	0	22	12	38	11	122
430	0	0	0	22	12	38	11	122
440	0	2	0	22	10	38	12	120
450	1	1	0	22	8	40	12	120
460	0	0	0	24	8	40	12	120
470	0	0	0	24	7	41	12	120
480	0	0	0	24	7	39	14	116
490	0	0	0	24	7	39	14	116
500	0	0	0	24	7	39	14	116
510	1	1	0	24	6	38	15	114
520	1	1	0	24	6	38	15	114
530	0	1	0	25	4	38	17	110
540	0	1	0	25	4	38	17	110
550	0	0	0	24	5	38	17	110
560	0	0	0	24	5	37	18	108
570	0	0	0	22	5	36	20	104
580	0	0	0	22	5	36	20	104
590	0	0	0	22	5	36	20	104
600	0	0	0	22	4	37	20	104
660	0	0	0	22	3	37	21	102
720	0	0	0	22	1	37	23	98
780	0	0	0	22	1	37	23	98
840	0	0	0	22	1	36	24	96
900	0	0	0	22	1	32	28	88
960	0	0	0	22	1	31	29	86
1020	0	0	0	22	0	30	31	82
1080	0	0	0	22	0	30	31	82
1140	0	0	0	22	0	27	34	76
1200	0	0	0	22	0	27	34	76
1260	0	0	0	22	0	25	36	72
1320	0	0	0	22	0	25	36	72
1380	0	0	0	22	0	23	38	68
1440	0	0	0	22	0	20	41	62
1500	0	0	0	22	0	18	43	58
1560	0	0	0	22	0	17	44	56
1620	0	0	0	22	0	17	44	56
1680	0	0	0	22	0	16	45	54
1740	0	0	0	22	0	14	47	50
1800	0	0	0	22	0	14	47	50
1860	0	0	0	22	0	13	48	48
1920	0	0	0	22	0	12	49	46
1980	0	0	0	22	0	12	49	46
2040	0	0	0	22	0	12	49	46
2100	0	0	0	22	0	11	50	44
2160	0	0	0	22	0	10	51	42
2220	0	0	0	22	0	10	51	42
2280	0	0	0	22	0	8	53	38
2340	0	0	0	22	0	6	55	34
2400	0	0	0	22	0	5	56	32
2460	0	0	0	20	1	4	57	30
2520	0	0	0	20	1	4	57	30
2580	1	0	0	21	0	4	57	30
2640	0	0	0	20	1	4	57	30
2700	0	0	0	20	0	5	57	30
2760	0	0	0	20	0	5	57	30
2820	0	0	0	20	0	5	57	30
2880	0	0	0	20	0	5	57	30
2940	0	0	0	18	1	5	57	30
3000	0	0	0	18	1	5	57	30
3060	0	0	0	18	1	4	58	28
3120	0	0	0	18	1	4	58	28
3180	0	0	0	18	0	5	58	28
3240	0	0	0	18	0	5	58	28
3300	0	0	0	18	0	4	59	26
3360	0	0	0	18	0	4	59	26
3420	0	0	0	18	0	4	59	26
3480	0	0	0	18	0	4	59	26
3540	0	0	0	18	0	3	60	24
3600	0	0	0	18	0	3	60	24
4200	0	0	0	16	0	3	61	22
4800	0	0	0	16	0	2	62	20
5400	0	0	0	16	0	0	64	16
6000	0	0	0	16	0	0	64	16
6600	0	0	0	16	0	0	64	16
7200	0	0	0	16	0	0	64	16
7800	0	0	0	16	0	0	64	16
8400	0	0	0	16	0	0	64	16
9000	0	0	0	16	0	0	64	16
9600	0	0	0	16	0	0	64	16
10200	0	0	0	16	0	0	64	16
10800	0	0	0	16	0	0	64	16
11400	0	0	0	16	0	0	64	16
12000	0	0	0	16	0	0	64	16
12600	0	0	0	16	0	0	64	16
13200	0	0	0	16	0	0	64	16
13800	0	0	0	16	0	0	64	16
14400	0	0	0	16	0	0	64	16
15000	0	0	0	16	0	0	64	16
15600	0	0	0	14	0	1	64	16
16200	0	0	0	14	0	0	65	14
16800	0	0	0	14	0	0	65	14
17400	0	0	0	14	0	0	65	14
18000	0	0	0	14	0	0	65	14
18600	0	0	0	14	0	0	65	14
19200	0	0	0	14	0	0	65	14
19800	0	0	0	14	0	0	65	14
20400	0	0	0	14	0	0	65	14
21000	0	0	0	14	0	0	65	14
21600	0	0	0	14	0	0	65	14
22200	0	0	0	14	0	0	65	14
22800	0	0	0	14	0	0	65	14
23400	0	0	0	14	0	0	65	14
24000	0	0	0	14	0	0	65	14
24600	0	0	0	14	0	0	65	14
25200	0	0	0	14	0	0	65	14
25800	0	0	0	14	0	0	65	14
26400	0	0	0	14	0	0	65	14
27000	0	0	0	14	0	0	65	14
27600	0	0	0	14	0	0	65	14
28200	0	0	0	14	0	0	65	14
28800	0	0	0	14	0	0	65	14
29400	0	0	0	14	0	0	65	14
30000	0	0	0	14	0	0	65	14
30600	0	0	0	14	0	0	65	14
31200	0	0	0	14	0	0	65	14
31800	0	0	0	14	0	0	65	14
32400	0	0	0	14	0	0	65	14
33000	0	0	0	14	0	0	65	14
33600	0	0	0	14	0	0	65	14
34200	0	0	0	14	0	0	65	14
34800	0	0	0	14	0	0	65	14
35400	0	0	0	14	0	0	65	14
36000	0	0	0	14	0	0	65	14
36600	0	0	0	14	0	0	65	14
37200	0	0	0	14	0	0	65	14
37800	0	0	0	14	0	0	65	14
38400	0	0	0	14	0	0	65	14
39000	0	0	0	14	0	0	65	14
39600	0	0	0	14	0	0	65	14
40200	0	0	0	14	0	0	65	14
40800	0	0	0	14	0	0	65	14
41400	0	0	0	14	0	0	65	14
42000	0	0	0	14	0	0	65	14
42600	0	0	0	14	0	0	65	14
43200	0	0	0	14	0	0	65	14
43800	0	0	0	14	0	0	65	14
44400	0	0	0	14	0	0	65	14
45000	0	0	0	14	0	0	65	14
45600	0	0	0	14	0	0	65	14
46200	0	0	0	14	0	0	65	14
46800	0	0	0	14	0	0	65	14
47400	0	0	0	14	0	0	65	14
48000	0	0	0	14	0	0	65	14
48600	0	0	0	14	0	0	65	14
49200	0	0	0	14	0	0	65	14
49800	0	0	0	14	0	0	65	14
50400	0	0	0	14	0	0	65	14
51000	0	0	0	14	0	0	65	14
51600	0	0	0	14	0	0	65	14
52200	0	0	0	14	0	0	65	14
52800	0	0	0	14	0	0	65	14
53400	0	0	0	14	0	0	65	14
54000	0	0	0	14	0	0	65	14
54600	0	0	0	14	0	0	65	14
55200	0	0	0	14	0	0	65	14
55800	0	0	0	14	0	0	65	14
56400	0	0	0	14	0	0	65	14
57000	0	0	0	14	0	0	65	14
57600	0	0	0	14	0	0	65	14
58200	0	0	0	14	0	0	65	14
58800	0	0	0	14	0	0	65	14
59400	0	0	0	14	0	0	65	14
60000	0	0	0	14	0	0	65	14
60600	0	0	0	14	0	0	65	14
61200	0	0	0	14	0	0	65	14
61800	0	0	0	14	0	0	65	14
62400	0	0	0	14	0	0	65	14
63000	0	0	0	14	0	0	65	14
63600	0	0	0	14	0	0	65	14
64200	0	0	0	14	0	0	65	14
64800	0	0	0	14	0	0	65	14
65400	0	0	0	14	0	0	65	14
66000	0	0	0	14	0	0	65	14
66600	0	0	0	14	0	0	65	14
67200	0	0	0	14	0	0	65	14
67800	0	0	0	14	0	0	65	14
68400	0	0	0	14	0	0	65	14
69000	0	0	0	14	0	0	65	14
69600	0	0	0	14	0	0	65	14
70200	0	0	0	14	0	0	65	14
70800	0	0	0	14	0	0	65	14
71400	0	0	0	14	0	0	65	14
72000	0	0	0	14	0	0	65	14
72600	0	0	0	14	0	0	65	14
73200	0	0	0	14	0	0	65	14
73800	0	0	0	14	0	0	65	14
74400	0	0	0	14	0	0	65	14
75000	0	0	0	14	0	0	65	14
75600	0	0	0	14	0	0	65	14
76200	0	0	0	14	0	0	65	14
76800	0	0	0	14	0	0	65	14
77400	0	0	0	14	0	0	65	14
78000	0	0	0	14	0	0	65	14
78600	0	0	0	14	0	0	65	14
79200	0	0	0	14	0	0	65	14
79800	0	0	0	14	0	0	65	14
80400	0	0	0	14	0	0	65	14
81000	0	0	0	14	0	0	65	14
81600	0	0	0	14	0	0	65	14
82200	0	0	0	14	0	0	65	14
82800	0	0	0	14	0	0	65	14
83400	0	0	0	14	0	0	65	14
84000	0	0	0	14	0	0	65	14
84600	0	0	0	14	0	0	65	14
85200	0	0	0	14	0	0	65	14
85800	0	0	0	14	0	0	65	14
86400	0	0	0	14	0	0	65	14


#Time	DSBEnd	DSBEnd_Inhibited	DSBEnd_Ku	DSBEnd_PKcs	DSBSynaptic	DSBSynaptic_Stable	DSB_Fixed	Unrepaired
0	146	0	0	0	0	0	0	146
1	25	64	36	17	2	0	0	146
2	6	64	31	29	8	0	0	146
3	10	56	19	35	13	0	0	146
4	8	49	11	32	23	0	0	146
5	5	49	7	33	26	0	0	146
6	5	46	1	26	34	0	0	146
7	5	44	1	24	36	0	0	146
8	7	38	4	25	36	0	0	146
9	6	35	7	26	36	0	0	146
10	2	33	11	28	36	0	0	146
11	6	30	8	28	37	0	0	146
